Sweep	Chain_l	Chain_r
5004	1	1
5007	1	1
5010	1	1
5012	1	2
5013	1	1
5014	1	1
5019	1	2
5020	1	1
5021	1	1
5022	1	1
5023	1	1
5024	1	1
5025	1	1
5029	1	1
5031	1	1
5033	1	1
5034	1	1
5042	1	2
5043	1	1
5052	1	2
5053	1	1
5054	1	1
5057	1	1
5060	1	2
5061	1	1
5062	1	1
5064	1	1
5065	1	1
5070	2	3
5071	1	1
5074	2	3
5075	1	1
5076	1	1
5077	1	1
5078	1	1
5079	2	3
5081	2	3
5083	1	1
5084	1	3
5085	1	2
5086	1	1
5087	1	2
5088	1	1
5089	1	1
5091	1	1
5092	1	1
5093	1	1
5094	1	1
5099	1	1
5100	1	1
5101	1	1
5103	1	1
5106	1	1
5108	1	1
5109	1	1
5110	1	1
5112	1	1
5113	1	2
5117	2	3
5118	1	1
5119	1	1
5120	1	2
5122	1	1
5123	1	1
5128	1	1
5129	1	2
5130	1	2
5132	1	1
5133	2	3
5137	1	1
5139	1	1
5140	1	1
5141	1	1
5144	1	1
5145	1	1
5146	1	1
5147	1	1
5148	1	1
5152	2	3
5154	2	3
5156	1	1
5158	1	1
5159	2	3
5162	1	1
5163	2	3
5164	2	3
5167	1	1
5169	2	3
5171	1	2
5176	2	3
5179	1	1
5181	2	3
5182	1	1
5183	1	1
5185	1	1
5187	1	1
5189	2	3
5190	2	3
5193	1	1
5197	1	2
5200	1	2
5201	1	1
5202	1	1
5204	1	2
5205	2	3
5206	1	2
5207	1	1
5208	1	1
5210	2	3
5212	1	1
5213	1	1
5215	2	3
5220	1	1
5221	1	1
5229	1	1
5230	1	1
5231	1	1
5238	1	2
5239	1	1
5240	1	1
5243	1	1
5245	1	2
5247	2	3
5249	1	1
5254	1	2
5255	1	1
5256	1	1
5257	1	1
5260	1	1
5261	1	1
5266	1	1
5269	2	3
5270	1	1
5271	1	1
5273	1	1
5275	1	1
5276	1	1
5280	1	2
5282	1	1
5283	1	2
5285	1	1
5286	1	1
5287	1	1
5292	1	1
5293	1	1
5294	1	1
5295	1	1
5296	2	3
5299	1	1
5301	1	1
5304	1	1
5305	1	1
5308	1	1
5311	2	3
5318	1	1
5319	1	1
5323	2	3
5324	1	2
5325	2	3
5326	2	3
5329	1	1
5330	1	1
5331	1	1
5332	1	1
5334	1	1
5336	1	1
5339	1	1
5340	2	3
5341	1	1
5343	2	3
5344	1	1
5346	1	1
5347	1	2
5348	1	1
5349	1	1
5350	1	2
5352	1	1
5353	2	3
5355	1	1
5356	2	3
5359	1	1
5360	1	1
5361	1	1
5362	1	1
5363	1	1
5364	1	1
5365	1	1
5368	2	3
5369	1	1
5370	1	1
5371	1	1
5373	1	1
5375	1	1
5377	1	1
5383	1	2
5384	1	2
5387	1	1
5389	1	1
5390	1	1
5392	1	2
5393	1	1
5394	1	1
5395	1	1
5396	1	1
5398	1	1
5399	1	1
5400	1	2
5403	1	1
5407	1	1
5408	2	3
5409	1	1
5411	1	1
5412	2	3
5417	2	3
5418	2	3
5419	1	1
5421	1	1
5425	1	1
5426	2	3
5429	2	3
5432	1	1
5433	1	1
5434	1	1
5435	1	2
5437	1	1
5440	1	1
5441	1	1
5442	1	1
5446	1	2
5448	1	1
5449	2	3
5450	1	1
5451	1	1
5452	1	1
5454	2	3
5456	1	2
5463	1	1
5464	1	1
5466	1	1
5467	2	3
5468	2	3
5470	2	3
5471	2	3
5477	1	1
5478	1	1
5480	1	1
5482	1	2
5483	1	1
5484	1	2
5485	1	1
5486	1	1
5487	1	1
5489	1	1
5491	2	3
5493	1	1
5495	1	1
5496	1	1
5498	1	2
5499	1	2
5500	1	2
5502	1	2
5504	2	3
5507	1	1
5509	2	3
5510	1	1
5514	1	1
5515	1	1
5516	1	1
5519	1	1
5522	1	1
5524	1	1
5527	1	2
5529	1	1
5530	1	1
5531	1	2
5532	1	1
5533	1	2
5539	1	1
5540	1	1
5542	1	1
5544	1	1
5547	1	1
5553	2	3
5555	1	1
5558	1	1
5559	1	1
5560	1	1
5561	2	3
5562	1	1
5563	1	2
5564	1	2
5569	2	3
5571	1	2
5572	1	1
5575	1	2
5576	1	1
5577	1	2
5578	1	1
5580	1	2
5581	1	1
5582	1	1
5584	1	2
5586	2	3
5587	1	1
5590	1	1
5591	2	3
5592	1	1
5593	1	2
5595	1	1
5598	1	1
5599	1	2
5605	2	3
5610	2	3
5611	1	1
5614	1	1
5616	1	1
5618	1	2
5619	1	1
5620	1	2
5624	1	2
5627	1	1
5628	1	1
5630	1	1
5632	2	3
5633	1	1
5635	1	1
5636	1	1
5643	1	1
5647	2	3
5648	1	3
5649	2	3
5650	1	2
5652	1	2
5655	1	1
5657	1	1
5658	1	1
5659	1	1
5660	1	1
5663	1	1
5665	1	2
5667	2	3
5668	1	1
5671	1	1
5674	1	1
5679	1	1
5680	1	1
5687	2	3
5690	1	1
5691	1	1
5697	1	2
5698	1	1
5702	1	1
5706	1	1
5709	1	1
5710	1	1
5711	1	1
5712	2	3
5713	1	1
5714	1	1
5716	1	1
5717	1	2
5719	1	1
5720	1	1
5722	1	1
5723	1	1
5724	1	1
5725	1	2
5726	1	1
5727	1	1
5728	1	1
5729	2	3
5730	1	1
5731	1	1
5732	1	1
5733	1	1
