Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
1	1	1	3	1
4	1	1	2	1
6	1	1	1	2
8	3	4	1	2
14	3	2	1	2
17	1	1	1	2
18	3	1	1	3
23	1	1	2	1
26	2	2	2	1
28	2	2	2	1
29	2	2	1	2
30	2	2	1	2
36	3	2	2	1
37	3	2	2	1
39	1	1	2	1
42	3	1	1	2
46	1	1	1	2
48	3	1	2	1
52	1	1	1	2
54	3	1	2	1
57	2	2	2	1
59	3	1	2	1
65	1	1	1	2
66	1	1	1	2
68	1	1	1	2
69	3	4	3	1
70	3	2	2	3
71	1	1	1	3
72	3	1	1	3
73	2	2	1	3
74	1	1	3	1
76	3	2	3	1
79	3	2	3	1
81	2	2	2	3
82	1	1	2	1
85	1	1	1	3
86	1	1	1	2
87	3	4	1	2
88	3	2	1	3
91	2	2	2	1
94	1	1	2	1
99	2	2	1	3
106	2	2	1	2
107	2	2	1	2
109	3	5	2	1
112	2	2	1	3
114	1	1	2	1
115	3	2	1	2
120	1	1	1	3
124	2	2	1	2
128	3	5	3	1
129	1	1	3	2
135	1	1	2	1
136	3	1	2	3
140	2	2	1	2
143	3	2	1	2
148	3	1	1	2
150	3	1	3	1
151	3	1	3	1
153	1	1	1	2
159	3	2	2	3
160	2	2	2	3
170	3	1	1	2
171	3	4	2	1
172	3	1	2	1
175	2	2	2	1
185	1	1	1	2
186	2	2	1	2
187	3	5	1	2
188	2	2	2	1
190	2	2	3	1
192	1	1	1	3
195	3	4	1	3
196	3	4	1	3
197	1	1	1	3
202	1	1	1	3
207	2	2	2	1
211	1	1	1	2
216	3	2	1	2
218	2	2	3	1
220	1	1	2	1
223	3	1	1	2
225	3	1	2	1
230	2	2	1	2
234	3	2	2	1
236	2	2	1	3
243	2	2	1	3
244	3	1	3	1
245	2	2	3	1
246	2	2	1	3
249	3	1	1	2
252	1	1	1	2
253	1	1	2	1
256	3	2	2	1
263	1	1	1	2
269	3	2	2	3
271	1	1	2	1
272	1	1	2	1
274	3	1	1	2
275	2	2	1	2
277	3	5	1	2
281	2	2	1	2
286	2	2	1	3
288	2	2	3	2
291	3	2	1	2
292	2	2	1	2
293	3	1	1	3
298	3	2	1	2
300	3	2	1	3
302	2	2	3	1
305	2	2	2	1
307	2	2	2	1
