Sweep	Chain_l	Chain_r
3	3	1
4	3	2
5	2	1
6	2	3
7	3	1
8	3	2
10	3	1
11	3	2
13	3	1
14	3	2
16	3	2
17	1	2
19	3	2
23	1	2
24	1	2
25	2	1
26	2	1
27	3	2
30	2	1
31	1	2
32	1	3
33	2	3
34	2	3
37	3	2
38	2	1
39	1	2
40	3	2
41	1	2
42	2	3
43	1	3
45	3	2
46	2	3
48	2	1
49	3	1
50	1	2
51	1	3
52	2	3
53	1	2
54	3	2
55	3	2
56	1	2
57	2	1
58	3	2
60	3	2
61	2	3
67	2	3
73	1	2
75	1	2
77	2	3
78	2	3
79	1	2
80	1	2
81	1	2
82	1	2
86	1	2
87	2	1
88	2	3
90	2	1
96	1	2
99	1	2
101	2	1
103	1	2
104	2	3
105	2	1
107	2	3
110	3	2
111	3	2
113	2	3
114	3	2
117	3	2
118	1	2
119	2	1
121	1	2
122	1	2
123	1	3
124	1	2
125	2	1
127	1	2
133	1	2
139	1	2
141	1	2
144	2	3
145	2	3
148	1	2
149	2	3
150	3	1
151	1	2
152	1	2
154	2	1
156	1	2
159	2	1
165	2	1
166	1	2
167	3	2
169	1	2
170	2	1
176	2	1
178	3	2
181	2	1
182	2	1
183	3	2
184	1	3
186	2	3
187	1	2
188	2	1
192	2	3
194	1	2
198	1	2
200	2	1
201	3	2
202	1	3
203	3	2
205	2	3
207	1	3
208	3	2
209	2	1
211	2	1
216	1	2
217	1	2
218	3	2
221	1	2
223	1	3
224	2	3
225	2	3
227	2	3
228	2	3
236	2	1
238	1	2
240	3	2
241	1	3
242	1	2
243	1	2
246	2	1
247	1	2
252	1	2
255	2	3
263	2	1
264	1	2
265	2	1
266	3	2
269	3	2
273	1	2
274	1	2
276	1	2
278	2	3
280	3	2
281	3	2
282	2	3
288	2	1
290	1	2
291	1	2
293	1	2
294	2	1
295	3	2
296	3	2
297	2	1
304	3	2
306	1	2
307	1	2
309	2	1
310	2	3
311	3	1
312	3	1
313	2	3
314	1	2
315	1	2
316	1	2
318	3	2
319	2	3
320	3	2
321	1	2
322	3	2
323	2	3
324	1	2
325	1	2
326	1	2
328	2	1
330	2	1
332	3	2
334	2	1
338	1	2
339	2	3
340	1	3
342	3	2
343	3	1
344	1	3
345	3	2
346	3	2
347	2	3
348	2	1
350	2	1
351	2	1
353	2	1
354	2	1
357	2	3
359	2	3
360	3	2
362	1	3
363	2	3
364	3	1
365	2	1
366	3	2
367	2	3
369	3	2
372	2	3
373	1	2
375	3	2
377	1	3
378	3	2
379	3	2
380	1	3
381	2	1
382	1	3
384	3	2
386	1	2
388	2	1
390	2	1
392	2	1
393	2	3
394	3	1
395	3	2
400	2	1
402	3	2
404	3	2
408	2	1
409	3	2
411	1	2
412	1	3
413	3	1
414	2	1
415	2	3
416	2	1
418	3	1
419	1	2
420	3	1
421	3	2
422	1	2
423	1	2
424	2	3
428	3	2
429	2	1
430	1	2
431	2	1
432	1	2
439	2	1
440	2	1
442	2	3
443	2	3
445	2	1
450	1	2
454	1	2
458	2	1
459	2	1
464	2	1
465	3	2
466	2	1
467	3	2
469	3	2
472	2	1
473	2	1
475	3	2
476	1	2
477	3	1
478	2	1
480	2	1
482	2	3
483	3	2
487	2	3
488	3	1
489	3	2
490	2	1
491	2	1
493	1	2
494	1	2
496	2	3
497	2	3
498	2	3
500	2	3
501	2	3
502	2	3
503	2	1
504	2	1
506	1	2
508	2	1
513	3	2
516	1	2
517	2	1
518	3	2
519	2	3
523	2	1
524	2	1
527	2	3
530	2	3
531	2	3
532	3	2
534	2	3
536	1	3
537	3	2
540	1	2
541	2	3
543	2	3
544	2	3
547	2	3
548	3	2
549	1	3
551	2	3
552	2	1
554	1	2
556	2	1
557	3	2
558	2	3
561	2	1
563	3	2
564	3	2
566	2	3
568	3	2
571	1	2
572	2	1
574	2	1
575	2	3
576	3	2
577	2	1
579	3	2
581	3	2
582	2	3
584	3	2
585	3	2
587	2	3
588	2	3
590	2	3
592	2	3
598	2	3
602	2	3
603	3	2
604	1	2
605	2	1
612	2	3
613	3	2
614	3	2
615	2	3
618	3	2
621	3	2
622	3	2
624	1	2
628	3	2
630	2	3
631	2	1
632	2	1
633	2	1
634	1	2
635	1	2
636	3	2
639	2	1
641	1	2
646	1	2
647	2	3
648	1	2
651	3	2
653	2	3
654	1	2
655	1	2
657	1	2
658	2	3
660	2	3
661	3	2
662	1	3
663	1	2
664	2	1
666	2	1
667	2	3
669	3	2
670	3	1
671	1	2
676	3	2
678	2	1
679	2	1
680	2	1
681	2	3
683	2	1
684	1	2
685	3	2
686	2	1
687	1	2
688	2	1
689	3	2
691	3	1
692	3	1
694	1	2
695	2	1
696	2	3
697	2	1
698	1	3
699	1	3
700	3	2
701	3	2
702	2	3
703	2	1
704	2	3
706	2	3
707	3	1
708	3	1
709	2	3
710	3	1
711	1	2
712	2	1
713	1	2
714	2	3
715	1	2
716	1	2
717	2	1
719	3	2
724	3	2
726	3	1
727	2	3
728	1	2
729	1	2
731	2	1
735	3	2
737	2	1
738	2	1
740	3	2
743	1	2
746	1	2
748	3	2
750	1	2
751	1	2
754	3	2
755	2	3
756	3	2
758	3	2
759	3	2
766	2	3
769	2	1
772	3	2
774	3	2
776	3	2
778	1	2
780	1	2
783	1	2
784	3	1
785	2	1
786	2	3
787	3	2
788	3	2
789	1	2
790	1	2
791	2	1
792	1	2
794	3	2
797	3	2
798	3	2
799	3	2
802	3	2
804	1	2
806	1	2
807	2	1
808	1	2
812	3	2
813	3	2
814	3	2
815	2	1
816	3	1
817	3	2
818	1	2
819	2	1
820	1	2
821	2	3
822	3	2
823	3	2
824	2	3
825	3	2
826	3	1
827	3	1
830	1	2
831	3	1
833	2	1
835	1	2
837	2	1
838	1	2
840	1	3
847	3	2
848	1	2
851	3	2
852	3	2
856	3	2
859	1	3
860	3	2
861	2	3
862	2	3
865	2	3
872	2	3
876	2	3
877	3	2
879	3	2
882	2	3
884	3	2
886	2	1
892	3	2
893	3	1
896	2	3
897	3	2
898	2	3
900	2	1
903	3	2
905	2	3
906	2	1
909	3	2
915	1	2
918	2	1
919	2	1
922	3	2
924	2	3
925	3	2
929	1	2
930	2	1
935	1	2
936	1	2
938	1	2
945	2	3
947	3	2
948	2	3
950	2	1
951	2	1
954	2	3
955	2	3
956	2	3
957	1	2
960	1	2
966	2	3
967	2	1
971	2	1
977	3	2
978	2	3
979	2	1
980	3	2
981	1	2
982	3	2
983	3	2
985	2	1
986	2	1
990	1	2
991	1	2
994	2	3
995	1	2
996	1	2
997	2	3
1001	2	3
1003	1	2
1004	3	2
1005	2	1
1006	3	2
1012	3	2
1013	2	1
1014	2	3
1015	1	3
1016	1	2
1017	3	2
1021	2	1
1023	1	2
1024	2	1
1025	1	3
1027	2	3
1028	3	2
1029	1	2
1033	1	2
1034	2	3
