Sweep	n_mod	n_accept	n_mod_0_1	n_accept_0_1	n_mod_1_0	n_accept_1_0
1	10	4	6	4	4	0
2	16	9	9	6	7	3
3	15	7	5	1	10	6
4	17	6	10	4	7	2
10	12	6	5	3	7	3
11	13	3	6	1	7	2
12	11	4	6	3	5	1
13	16	10	8	6	8	4
15	14	5	7	1	7	4
16	15	6	6	2	9	4
17	12	3	6	2	6	1
18	20	7	11	4	9	3
19	18	6	9	2	9	4
20	16	4	9	3	7	1
23	16	8	8	5	8	3
27	21	9	12	5	9	4
30	20	7	9	2	11	5
33	17	6	9	3	8	3
37	11	4	2	0	9	4
40	13	3	8	3	5	0
44	13	3	6	1	7	2
49	11	2	3	0	8	2
53	11	1	5	1	6	0
56	14	3	10	3	4	0
57	17	8	8	5	9	3
58	15	7	6	2	9	5
59	16	8	7	4	9	4
64	14	7	6	3	8	4
68	11	3	3	2	8	1
69	16	8	8	5	8	3
70	17	5	6	1	11	4
71	12	2	6	0	6	2
72	17	8	11	7	6	1
73	16	7	8	2	8	5
74	14	4	7	2	7	2
75	13	4	4	1	9	3
76	14	6	7	5	7	1
77	18	6	8	1	10	5
83	12	6	7	6	5	0
85	19	6	11	3	8	3
86	19	7	7	1	12	6
87	11	2	3	0	8	2
88	12	1	7	1	5	0
90	16	7	9	5	7	2
91	18	6	9	4	9	2
93	22	7	12	3	10	4
96	14	5	8	3	6	2
97	17	6	9	3	8	3
98	18	6	9	2	9	4
99	15	4	7	1	8	3
100	12	5	4	3	8	2
102	13	6	6	3	7	3
105	17	11	9	7	8	4
106	18	10	9	5	9	5
109	13	5	6	1	7	4
113	12	4	5	1	7	3
116	22	9	16	8	6	1
117	20	7	8	1	12	6
118	18	8	11	5	7	3
122	18	10	9	4	9	6
124	12	4	4	2	8	2
125	16	7	7	4	9	3
127	17	6	8	3	9	3
130	21	6	12	3	9	3
132	18	5	9	1	9	4
133	14	3	10	3	4	0
135	18	7	9	2	9	5
136	16	7	9	6	7	1
137	15	7	5	1	10	6
138	13	6	8	4	5	2
140	12	5	5	3	7	2
141	18	8	9	5	9	3
142	17	7	5	2	12	5
143	18	5	11	3	7	2
145	18	6	12	4	6	2
147	12	6	3	1	9	5
149	17	5	11	3	6	2
150	11	5	3	2	8	3
153	17	4	10	3	7	1
157	20	5	11	1	9	4
158	15	3	8	2	7	1
160	9	2	3	1	6	1
161	13	6	6	4	7	2
162	17	9	10	6	7	3
166	19	8	8	2	11	6
167	14	4	7	2	7	2
170	17	7	10	5	7	2
171	17	6	9	2	8	4
173	11	5	3	1	8	4
177	16	8	10	6	6	2
178	16	10	9	7	7	3
180	21	12	7	3	14	9
181	13	3	7	2	6	1
182	20	8	12	6	8	2
183	24	12	10	4	14	8
188	16	7	9	5	7	2
192	16	5	5	0	11	5
193	15	5	7	3	8	2
195	16	4	10	3	6	1
197	14	7	6	2	8	5
199	17	6	9	4	8	2
200	15	7	7	3	8	4
201	16	5	8	3	8	2
203	15	8	5	4	10	4
206	18	5	8	1	10	4
214	14	3	7	2	7	1
219	14	4	7	3	7	1
220	15	6	7	2	8	4
223	11	3	6	1	5	2
224	15	4	9	3	6	1
225	15	4	7	2	8	2
229	15	6	8	4	7	2
230	18	8	9	4	9	4
231	17	9	7	4	10	5
235	23	7	14	4	9	3
236	16	6	6	2	10	4
239	13	5	7	2	6	3
241	10	6	7	5	3	1
242	16	10	9	6	7	4
243	15	6	4	1	11	5
246	14	7	9	4	5	3
248	14	4	6	2	8	2
252	17	8	8	4	9	4
