Sweep	Acceptance_rate	log_proposal_std
100	0.43	-0.0277259
200	0.48	0
300	0.45	0.0277259
400	0.36	0
500	0.36	-0.0277259
600	0.53	0
700	0.42	-0.0277259
800	0.47	0
900	0.46	0.0277259
1000	0.52	0.0554518
1100	0.47	0.0831777
1200	0.41	0.0554518
1300	0.44	0.0831777
1400	0.47	0.110904
1500	0.37	0.0831777
1600	0.36	0.0554518
1700	0.47	0.0831777
1800	0.38	0.0554518
1900	0.54	0.0831777
2000	0.42	0.0554518
2100	0.39	0.0277259
2200	0.52	0.0554518
2300	0.49	0.0831777
2400	0.5	0.110904
2500	0.36	0.0831777
2600	0.42	0.0554518
2700	0.42	0.0277259
2800	0.53	0.0554518
2900	0.46	0.0831777
3000	0.48	0.110904
3100	0.45	0.138629
3200	0.39	0.110904
3300	0.36	0.0831777
3400	0.4	0.0554518
3500	0.46	0.0831777
3600	0.42	0.0554518
3700	0.51	0.0831777
3800	0.45	0.110904
3900	0.47	0.138629
4000	0.46	0.166355
4100	0.49	0.194081
4200	0.39	0.166355
4300	0.35	0.138629
4400	0.44	0.166355
4500	0.39	0.138629
4600	0.36	0.110904
4700	0.42	0.0831777
4800	0.45	0.110904
4900	0.4	0.0831777
5000	0.34	0.0554518
5100	0.44	0.0831777
5200	0.43	0.0554518
5300	0.4	0.0277259
5400	0.41	1.38778e-17
5500	0.42	-0.0277259
5600	0.52	1.38778e-17
5700	0.46	0.0277259
5800	0.46	0.0554518
5900	0.41	0.0277259
6000	0.54	0.0554518
6100	0.44	0.0831777
6200	0.34	0.0554518
6300	0.38	0.0277259
6400	0.42	1.38778e-17
6500	0.54	0.0277259
6600	0.42	1.38778e-17
6700	0.54	0.0277259
6800	0.42	1.38778e-17
6900	0.47	0.0277259
7000	0.46	0.0554518
7100	0.46	0.0831777
7200	0.38	0.0554518
7300	0.44	0.0831777
7400	0.55	0.110904
7500	0.37	0.0831777
7600	0.44	0.110904
7700	0.41	0.0831777
7800	0.44	0.110904
7900	0.34	0.0831777
8000	0.41	0.0554518
8100	0.4	0.0277259
8200	0.42	1.38778e-17
8300	0.46	0.0277259
8400	0.56	0.0554518
8500	0.37	0.0277259
8600	0.43	1.38778e-17
8700	0.38	-0.0277259
8800	0.54	1.38778e-17
8900	0.43	-0.0277259
9000	0.5	1.38778e-17
9100	0.53	0.0277259
9200	0.43	1.38778e-17
9300	0.48	0.0277259
9400	0.55	0.0554518
9500	0.42	0.0277259
9600	0.43	1.38778e-17
9700	0.5	0.0277259
9800	0.49	0.0554518
9900	0.39	0.0277259
10000	0.55	0.0554518
10100	0.49	0.0831777
10200	0.39	0.0554518
10300	0.42	0.0277259
10400	0.47	0.0554518
10500	0.37	0.0277259
10600	0.39	1.38778e-17
10700	0.57	0.0277259
10800	0.49	0.0554518
10900	0.43	0.0277259
11000	0.41	1.38778e-17
11100	0.4	-0.0277259
11200	0.49	1.38778e-17
11300	0.47	0.0277259
11400	0.41	1.38778e-17
11500	0.42	-0.0277259
11600	0.4	-0.0554518
11700	0.47	-0.0277259
11800	0.51	1.38778e-17
11900	0.43	-0.0277259
12000	0.54	1.38778e-17
12100	0.51	0.0277259
12200	0.39	1.38778e-17
12300	0.44	0.0277259
12400	0.51	0.0554518
12500	0.44	0.0831777
12600	0.5	0.110904
12700	0.39	0.0831777
12800	0.46	0.110904
12900	0.47	0.138629
13000	0.49	0.166355
13100	0.48	0.194081
13200	0.37	0.166355
13300	0.41	0.138629
13400	0.46	0.166355
13500	0.36	0.138629
13600	0.43	0.110904
13700	0.41	0.0831777
13800	0.4	0.0554518
13900	0.39	0.0277259
14000	0.47	0.0554518
14100	0.36	0.0277259
14200	0.44	0.0554518
14300	0.52	0.0831777
14400	0.45	0.110904
14500	0.38	0.0831777
14600	0.52	0.110904
14700	0.41	0.0831777
14800	0.42	0.0554518
14900	0.49	0.0831777
15000	0.48	0.110904
15100	0.43	0.0831777
15200	0.45	0.110904
15300	0.44	0.138629
15400	0.41	0.110904
15500	0.43	0.0831777
15600	0.45	0.110904
15700	0.45	0.138629
15800	0.39	0.110904
15900	0.42	0.0831777
16000	0.47	0.110904
16100	0.39	0.0831777
16200	0.47	0.110904
16300	0.53	0.138629
16400	0.36	0.110904
16500	0.44	0.138629
16600	0.45	0.166355
16700	0.49	0.194081
16800	0.4	0.166355
16900	0.36	0.138629
17000	0.44	0.166355
17100	0.35	0.138629
17200	0.42	0.110904
17300	0.45	0.138629
17400	0.3	0.110904
17500	0.52	0.138629
17600	0.39	0.110904
17700	0.52	0.138629
17800	0.38	0.110904
17900	0.45	0.138629
18000	0.46	0.166355
18100	0.39	0.138629
18200	0.44	0.166355
18300	0.5	0.194081
18400	0.46	0.221807
18500	0.37	0.194081
18600	0.41	0.166355
18700	0.34	0.138629
18800	0.39	0.110904
18900	0.44	0.138629
19000	0.39	0.110904
19100	0.4	0.0831777
19200	0.4	0.0554518
19300	0.5	0.0831777
19400	0.49	0.110904
19500	0.43	0.0831777
19600	0.5	0.110904
19700	0.5	0.138629
19800	0.42	0.110904
19900	0.42	0.0831777
20000	0.45	0.110904
20100	0.37	0.0831777
20200	0.38	0.0554518
20300	0.39	0.0277259
20400	0.42	1.38778e-17
20500	0.43	-0.0277259
20600	0.52	1.38778e-17
20700	0.48	0.0277259
