Sweep	g
1	289
2	289
3	286.401
4	286.401
5	286.401
6	286.401
7	286.401
8	426.527
9	426.527
10	426.527
11	426.527
12	165.497
13	360.14
14	360.14
15	187.707
16	187.707
17	277.001
18	277.001
19	277.001
20	186.029
21	186.029
22	186.029
23	186.029
24	242.578
25	242.578
26	242.578
27	242.578
28	242.578
29	242.578
30	242.578
31	242.578
32	352.152
33	241.599
34	591.878
35	470.643
36	198.87
37	249.646
38	249.646
39	161.719
40	161.719
41	236.762
42	236.762
43	236.762
44	316.678
45	316.678
46	316.678
47	307.122
48	307.122
49	249.629
50	106.692
51	106.692
52	106.692
53	106.692
54	106.692
55	106.692
56	120.526
57	120.526
58	120.526
59	120.526
60	120.526
61	120.526
62	120.526
63	174.503
64	214.429
65	214.429
66	228.403
67	228.403
68	228.403
69	228.403
70	183.928
71	183.928
72	183.928
73	403.569
74	403.569
75	403.569
76	174.21
77	263.081
78	265.956
79	265.956
80	301.94
81	301.94
82	199.515
83	199.515
84	199.515
85	237.679
86	256.553
87	282.701
88	282.701
89	614.158
90	614.158
91	614.158
92	436.197
93	436.197
94	193.929
95	193.929
96	193.929
97	175.569
98	267.898
99	267.898
100	228.624
101	228.624
102	157.999
103	151.743
104	151.743
105	151.743
106	352.089
107	352.089
108	352.089
109	352.089
110	352.089
111	352.089
112	352.089
113	195.19
114	195.19
115	253.038
116	253.038
117	253.038
118	220.583
119	220.583
120	188.304
121	398.956
122	398.956
123	415.029
124	415.029
125	415.029
126	408
127	408
128	215.033
129	215.033
130	215.033
131	215.033
132	462.74
133	128.865
134	128.865
135	340.978
136	340.978
137	340.978
138	340.978
139	340.978
140	176.967
141	176.967
142	176.967
143	176.967
144	226.665
145	226.665
146	226.665
147	226.665
148	226.665
149	226.665
150	226.665
151	226.665
152	470.623
153	448.231
154	480.197
155	480.197
156	569.287
157	142.147
158	151.181
159	151.181
160	616.361
161	1852.08
162	1699.19
163	995.374
164	995.374
165	995.374
166	393.633
167	220.47
168	220.47
169	501.02
170	321.702
171	321.702
172	138.488
173	138.488
174	138.488
175	138.488
176	138.488
177	138.488
178	153.53
179	213.83
180	213.83
181	142.734
182	290.576
183	290.576
184	290.576
185	290.576
186	290.576
187	290.576
188	290.576
189	290.576
190	290.576
191	290.576
192	323.522
193	401.945
194	573.921
195	573.921
196	245.56
197	163.154
198	163.154
199	426.101
200	426.101
201	180.611
202	180.611
203	180.611
204	180.611
205	180.611
206	546.008
207	546.008
208	322.859
209	335.546
210	335.546
211	335.546
212	335.546
213	335.546
214	335.546
215	381.044
216	381.044
217	381.044
218	381.044
219	381.044
220	124.442
221	229.423
222	248.381
223	248.381
224	248.381
225	248.381
226	248.381
227	460.011
228	533.407
229	528.133
230	451.099
231	451.099
232	208.249
233	176.583
234	176.583
235	252.914
236	252.914
237	143.61
238	143.61
239	143.61
240	143.61
241	518.582
242	274.958
243	226.055
244	276.04
245	276.04
246	276.04
247	276.04
248	276.04
249	136.477
250	136.477
251	136.477
252	136.477
253	136.477
254	199.047
255	294.374
256	360.667
257	281.272
258	281.272
259	185.598
260	183.61
261	183.61
262	289.213
263	289.213
264	289.213
265	272.448
266	272.448
267	272.448
268	110.389
269	159.908
270	159.908
271	336.156
272	321.758
273	321.758
274	296.955
275	366.009
276	198.203
277	198.203
278	235.106
279	235.106
280	361.891
281	182.948
282	182.948
283	354.029
284	325.564
285	359.687
286	359.687
287	359.687
288	359.687
289	325.067
290	167.3
291	183.677
292	183.677
293	416.204
294	247.592
295	247.592
296	287.419
297	287.419
298	287.419
299	287.419
300	239.763
301	239.763
302	238.85
303	238.85
304	238.85
305	224.446
306	224.446
307	224.446
308	168.816
309	183.361
310	360.043
311	108.538
312	163.296
313	163.296
314	163.296
315	285.833
316	309.542
317	309.542
318	309.542
319	196.647
320	198.768
321	382.838
322	382.838
323	572.737
324	651.786
325	325.355
326	325.355
327	325.355
328	326.817
329	326.817
330	419.781
331	419.781
332	419.781
333	419.781
334	419.781
335	419.781
336	191.175
337	497.998
338	497.998
339	497.998
340	161.658
341	315.434
342	315.434
343	222.768
344	222.768
345	222.768
346	222.768
347	222.768
348	222.768
349	222.768
350	222.768
351	222.768
352	222.768
353	222.768
354	335.397
355	314.472
356	314.472
357	314.472
358	314.472
359	471.182
360	471.182
361	471.182
362	510.859
363	510.859
364	694.417
365	286.094
366	286.094
367	286.094
368	274.815
369	556.231
370	410.408
371	333.384
372	333.384
373	333.384
374	333.384
375	333.384
376	333.384
377	217.465
378	217.465
379	414.248
380	429.078
381	207.263
382	221.749
383	221.749
