Sweep	n_0->1	n_1->0
1000	1	0
2000	1	0
3000	0	0
4000	1	0
5000	0	0
6000	0	1
7000	0	2
8000	0	1
9000	0	2
10000	0	0
11000	0	0
12000	1	0
13000	0	1
14000	0	0
15000	0	2
16000	1	1
17000	0	0
18000	1	1
19000	0	0
20000	1	0
21000	0	1
22000	1	1
23000	0	0
24000	1	0
25000	0	0
26000	0	0
27000	1	1
28000	1	1
29000	0	0
30000	0	1
31000	1	0
32000	0	1
33000	2	0
34000	0	0
35000	0	2
36000	0	0
37000	0	0
38000	0	0
39000	2	0
40000	0	0
41000	2	0
42000	0	2
43000	0	2
44000	1	0
45000	0	0
46000	0	0
47000	0	0
48000	1	1
49000	2	0
50000	0	0
51000	0	0
52000	1	0
53000	0	0
54000	0	1
55000	2	0
