Sweep	Chain_1	Chain_2	Chain_3	
1	-3523.41249899	-3523.41249899	-3523.41249899	
2	-3525.781740748	-3523.41249899	-3540.706560771	
3	-3523.246393682	-3522.780570204	-3542.959983081	
4	-3522.780570204	-3523.246393682	-3542.959983081	
5	-3520.176426829	-3522.780570204	-3542.882596045	
6	-3522.780570204	-3520.176426829	-3542.882596045	
7	-3520.176426829	-3522.738563204	-3533.216798061	
8	-3523.209725448	-3520.451831807	-3533.895322274	
9	-3523.48774487	-3525.765539397	-3524.8451977	
10	-3520.451831807	-3523.209725448	-3529.747272278	
11	-3523.877299419	-3520.451831807	-3533.311601665	
12	-3523.365622532	-3520.405726477	-3532.305902758	
13	-3520.300301125	-3523.642090789	-3532.989376452	
14	-3523.642090789	-3520.300301125	-3532.989376452	
15	-3523.293524966	-3525.566208829	-3524.053137488	
16	-3520.272165906	-3522.670353108	-3523.135106407	
17	-3520.167378453	-3523.220932875	-3522.755178615	
18	-3520.167378453	-3523.220932875	-3522.755178615	
19	-3520.167378453	-3527.034757884	-3520.167378453	
20	-3520.279856673	-3522.908750265	-3528.273365276	
21	-3520.279856673	-3522.908750265	-3524.547523543	
22	-3520.279856673	-3523.86341246	-3533.632559157	
23	-3520.279856673	-3523.86341246	-3533.632559157	
24	-3522.638139576	-3520.157181241	-3533.162282897	
25	-3528.14568287	-3524.40450822	-3533.146776099	
26	-3528.14568287	-3533.146776099	-3524.40450822	
27	-3528.14568287	-3524.40450822	-3533.146776099	
28	-3524.269971641	-3528.18812974	-3533.146776099	
29	-3524.40450822	-3528.14568287	-3533.146776099	
30	-3524.40450822	-3528.14568287	-3533.146776099	
31	-3524.136913462	-3526.923547112	-3538.443268453	
32	-3520.283779807	-3531.877299688	-3541.511117712	
33	-3520.157554875	-3531.190699726	-3540.446620715	
34	-3520.859439408	-3520.859439408	-3533.487857466	
35	-3520.559850102	-3520.559850102	-3528.414413436	
36	-3520.228999201	-3520.228999201	-3527.643123927	
37	-3520.155732305	-3520.155732305	-3527.686965247	
38	-3526.594268033	-3520.155732305	-3533.26355811	
39	-3520.436499224	-3526.449229128	-3532.895569832	
40	-3523.385147353	-3522.762642281	-3535.065861204	
41	-3520.160063483	-3525.596410034	-3528.960669748	
42	-3520.160063483	-3525.596410034	-3528.960669748	
43	-3520.160063483	-3522.671154369	-3529.662951425	
44	-3520.218074191	-3520.218074191	-3529.169375184	
45	-3520.218074191	-3522.871496747	-3531.280633458	
46	-3520.218074191	-3531.280633458	-3522.871496747	
47	-3522.799531711	-3520.203163158	-3535.043100135	
48	-3520.203163158	-3522.799531711	-3535.043100135	
49	-3520.155733253	-3526.920430862	-3524.282745015	
50	-3527.186845087	-3525.301279895	-3534.370007403	
51	-3525.301279895	-3527.186845087	-3534.370007403	
52	-3523.480562416	-3529.082109427	-3534.370007403	
53	-3529.082109427	-3523.480562416	-3534.370007403	
54	-3529.082109427	-3523.480562416	-3534.370007403	
55	-3521.394937064	-3526.030803773	-3531.574883483	
56	-3524.992604698	-3521.025993742	-3527.247652817	
57	-3521.025993742	-3524.992604698	-3527.247652817	
58	-3521.025993742	-3523.445403803	-3529.444666431	
59	-3521.025993742	-3523.445403803	-3529.444666431	
60	-3521.025993742	-3530.714783991	-3534.155584069	
61	-3521.025993742	-3530.714783991	-3534.155584069	
62	-3521.025993742	-3530.714783991	-3534.155584069	
63	-3520.34263805	-3523.170037223	-3530.715759781	
64	-3520.188408169	-3522.65123063	-3523.274920586	
65	-3520.188408169	-3522.65123063	-3523.274920586	
66	-3520.167207074	-3522.660771556	-3523.284684425	
