Sweep	Chain_1	Chain_2	Chain_3	
1	3	3	3	
2	4	3	4	
3	3	3	5	
4	3	3	5	
5	2	3	5	
6	3	2	5	
7	2	3	4	
8	3	2	4	
9	3	2	3	
10	2	3	3	
11	3	2	4	
12	3	2	4	
13	2	3	4	
14	3	2	4	
15	3	2	3	
16	2	3	3	
17	2	3	3	
18	2	3	3	
19	2	4	2	
20	2	3	4	
21	2	3	3	
22	2	3	6	
23	2	3	6	
24	3	2	5	
25	4	3	5	
26	4	5	3	
27	4	3	5	
28	3	4	5	
29	3	4	5	
30	3	4	5	
31	3	4	7	
32	2	5	7	
33	2	5	7	
34	2	2	4	
35	2	2	3	
36	2	2	3	
37	2	2	3	
38	4	2	5	
39	2	4	5	
40	3	3	6	
41	2	4	3	
42	2	4	3	
43	2	3	3	
44	2	2	3	
45	2	3	5	
46	2	5	3	
47	3	2	6	
48	2	3	6	
49	2	4	3	
50	4	3	6	
51	3	4	6	
52	3	4	6	
53	4	3	6	
54	4	3	6	
55	2	4	5	
56	3	2	4	
57	2	3	4	
58	2	3	5	
59	2	3	5	
60	2	5	6	
61	2	5	6	
62	2	5	6	
63	2	3	5	
64	2	3	3	
65	2	3	3	
66	2	3	3	
67	2	3	3	
68	2	3	3	
69	3	2	3	
70	2	3	3	
71	2	3	3	
72	2	3	3	
73	3	3	2	
74	2	3	3	
75	3	3	2	
76	2	3	3	
77	2	3	3	
78	2	4	2	
79	2	2	4	
80	3	3	3	
81	3	3	3	
82	3	3	3	
83	2	2	3	
84	3	4	4	
85	3	4	4	
86	3	4	4	
87	3	4	4	
88	4	3	4	
89	4	3	4	
90	3	2	5	
91	3	2	5	
92	2	2	3	
93	2	2	4	
94	2	2	4	
95	2	3	7	
96	3	4	5	
97	2	6	4	
98	2	6	4	
99	2	4	6	
100	2	3	7	
101	2	3	7	
102	3	4	6	
103	3	4	7	
104	2	4	8	
105	2	4	8	
106	3	3	8	
107	3	3	8	
108	3	3	6	
109	3	3	6	
110	3	6	5	
111	3	6	5	
112	3	5	6	
113	2	3	5	
114	2	3	5	
115	2	3	5	
116	2	3	3	
117	2	2	7	
118	2	2	5	
119	2	5	2	
120	2	5	2	
121	2	7	4	
122	2	4	7	
123	2	4	7	
124	3	3	7	
125	2	4	4	
126	4	2	4	
127	2	3	2	
128	3	2	2	
129	2	3	2	
130	3	3	3	
131	3	5	3	
132	2	4	7	
133	2	4	7	
134	3	3	5	
135	5	2	4	
136	4	2	5	
137	5	2	4	
138	4	3	5	
139	2	2	4	
140	2	2	4	
141	2	2	4	
142	2	4	6	
143	2	6	4	
144	2	3	5	
145	2	2	2	
146	2	3	4	
147	2	3	4	
148	2	3	4	
149	3	3	2	
150	3	3	2	
151	2	3	3	
152	2	3	4	
153	2	3	4	
154	3	2	3	
155	3	3	3	
156	3	2	3	
157	3	2	3	
158	3	2	3	
159	3	2	3	
160	3	2	3	
161	2	3	3	
162	2	2	3	
163	3	2	5	
164	2	2	3	
165	2	5	3	
166	2	5	3	
167	2	3	3	
168	3	3	4	
169	3	3	4	
170	3	3	4	
171	3	3	4	
172	3	3	4	
173	2	3	3	
174	3	3	4	
175	2	4	4	
176	2	4	2	
177	2	2	4	
178	2	5	3	
179	2	5	3	
180	2	3	5	
181	2	5	3	
182	2	2	3	
183	2	2	9	
184	2	3	8	
185	2	3	8	
186	2	3	8	
187	3	2	8	
188	3	2	8	
189	3	4	3	
190	3	4	3	
191	2	3	3	
192	2	3	3	
193	2	2	4	
194	2	2	2	
195	2	2	2	
196	2	2	2	
197	2	2	2	
198	2	2	3	
199	2	4	3	
200	2	5	4	
201	2	3	3	
202	2	3	3	
203	2	3	7	
204	2	3	7	
205	2	3	7	
206	2	3	4	
207	2	3	4	
208	2	3	6	
209	2	2	5	
210	2	3	5	
211	2	3	5	
212	2	3	5	
213	4	2	3	
214	2	3	3	
215	2	3	3	
216	2	3	3	
217	2	3	2	
218	2	2	3	
219	3	2	5	
220	3	2	5	
221	3	3	3	
222	2	3	5	
223	2	3	5	
224	2	2	3	
225	2	2	3	
226	2	4	4	
227	2	5	5	
228	2	2	5	
229	2	2	3	
230	2	2	3	
231	2	4	3	
232	4	3	4	
233	4	3	4	
234	3	4	4	
235	2	4	4	
236	2	4	4	
237	2	4	4	
238	2	4	4	
239	3	4	3	
240	2	3	4	
241	4	4	3	
242	2	3	3	
243	3	3	2	
244	3	3	2	
245	2	3	3	
246	2	3	3	
247	2	3	3	
248	2	3	6	
249	2	3	6	
250	2	3	6	
251	2	3	6	
252	3	2	6	
253	2	3	6	
254	4	2	7	
255	4	4	5	
256	4	4	5	
257	2	4	4	
258	2	4	4	
259	2	4	4	
260	2	4	5	
261	2	5	4	
262	2	3	4	
263	2	3	4	
264	2	3	5	
265	2	5	3	
266	2	2	5	
267	2	3	4	
268	3	3	3	
269	3	3	3	
270	3	3	6	
271	3	3	6	
272	3	3	6	
273	2	4	8	
274	2	4	8	
275	2	4	8	
276	2	4	8	
277	2	4	8	
278	2	4	8	
279	3	3	4	
280	2	3	4	
281	2	3	4	
282	2	5	5	
283	2	2	6	
284	3	4	5	
285	3	5	4	
286	3	4	5	
287	3	3	2	
288	3	2	3	
289	2	2	5	
290	2	3	4	
291	2	3	4	
292	2	4	3	
293	2	4	3	
294	4	2	4	
295	4	4	5	
296	3	2	3	
297	3	4	5	
298	3	5	4	
299	3	5	4	
300	4	5	3	
301	4	5	3	
302	3	5	4	
303	2	3	6	
304	2	2	5	
305	2	2	5	
306	2	3	4	
307	2	3	4	
308	3	2	4	
309	2	5	5	
310	2	5	5	
311	2	5	4	
312	2	4	3	
313	3	5	6	
314	4	5	5	
315	3	4	3	
316	3	4	4	
317	2	4	4	
318	2	4	4	
319	3	2	4	
320	3	3	4	
321	2	2	5	
322	2	4	2	
323	2	3	6	
324	2	3	6	
325	2	3	5	
326	2	3	4	
327	2	3	4	
328	2	3	4	
