Sweep	n_models_visited
1	3
2	20
3	43
4	46
5	65
6	68
7	89
8	92
9	108
10	127
11	143
12	148
13	153
14	156
15	170
16	187
17	190
18	193
19	208
20	222
21	237
22	252
23	257
24	278
25	296
26	299
27	304
28	309
29	314
30	317
31	333
32	354
33	359
34	379
35	398
36	401
37	404
38	425
39	428
40	448
41	468
42	471
43	487
44	503
45	519
46	522
47	546
48	549
49	566
50	584
51	589
52	594
53	599
54	602
55	623
56	642
57	647
58	667
59	670
60	693
61	698
62	703
63	724
64	741
65	744
66	747
67	763
68	766
69	769
70	772
71	775
72	778
73	781
74	784
75	805
76	808
77	813
78	828
79	831
80	849
81	852
82	855
83	872
84	888
85	891
86	894
87	897
88	900
89	905
90	926
91	929
92	945
93	960
94	963
95	978
96	1004
97	1026
98	1031
99	1034
100	1056
101	1061
102	1076
103	1100
104	1119
105	1124
106	1129
107	1132
108	1153
109	1156
110	1181
111	1186
112	1189
113	1214
114	1219
115	1222
116	1237
117	1253
118	1275
119	1293
120	1296
121	1315
122	1320
123	1325
124	1330
125	1347
126	1352
127	1367
128	1370
129	1373
130	1390
131	1414
132	1440
133	1445
134	1462
135	1467
136	1470
137	1488
138	1506
139	1526
140	1529
141	1545
142	1563
143	1566
144	1586
145	1605
146	1618
147	1637
148	1640
149	1654
150	1657
151	1660
152	1677
153	1680
154	1700
155	1715
156	1734
157	1739
158	1744
159	1747
160	1750
161	1767
162	1785
163	1801
164	1819
165	1837
166	1842
167	1859
168	1879
169	1896
170	1899
171	1902
172	1905
173	1921
174	1945
175	1950
176	1971
177	1976
178	1993
179	1998
180	2003
181	2008
182	2022
183	2039
184	2058
185	2061
186	2064
187	2067
188	2070
189	2089
190	2092
191	2112
192	2115
193	2130
194	2144
195	2147
196	2150
197	2153
198	2164
199	2181
200	2203
201	2222
202	2225
203	2248
204	2253
205	2258
206	2279
207	2282
208	2305
209	2328
210	2348
211	2351
212	2356
213	2378
214	2396
215	2401
216	2404
217	2424
218	2427
219	2439
220	2442
221	2462
222	2477
223	2480
224	2495
225	2498
226	2517
227	2528
228	2546
229	2562
230	2565
231	2580
232	2599
233	2604
234	2609
235	2628
236	2631
237	2636
238	2641
239	2659
240	2675
241	2693
242	2711
243	2714
244	2717
245	2722
246	2725
247	2730
248	2749
249	2752
250	2757
251	2762
252	2765
253	2768
254	2789
255	2807
256	2810
257	2827
258	2847
259	2852
260	2872
261	2877
262	2895
263	2898
264	2917
265	2922
266	2939
267	2955
268	2971
269	2974
270	2994
271	2997
272	3002
273	3025
274	3028
275	3031
276	3036
277	3039
278	3044
279	3065
280	3087
281	3090
282	3110
283	3130
284	3153
285	3158
286	3163
287	3190
288	3193
289	3212
290	3227
291	3230
292	3233
293	3236
294	3256
295	3278
296	3308
297	3326
298	3329
299	3334
300	3337
301	3342
302	3345
303	3369
304	3392
305	3395
306	3409
307	3414
308	3419
309	3436
310	3439
311	3461
312	3479
313	3497
314	3502
315	3523
316	3543
317	3556
318	3561
319	3581
320	3599
321	3619
322	3638
323	3655
324	3658
325	3676
326	3690
327	3695
328	3700
329	3703
330	3706
331	3723
332	3726
333	3729
334	3747
335	3763
336	3766
337	3769
338	3772
339	3775
340	3795
341	3798
342	3801
343	3806
344	3827
345	3832
346	3853
347	3869
348	3872
349	3893
350	3914
351	3936
352	3957
353	3972
354	3994
355	4013
356	4016
357	4019
358	4041
359	4058
360	4061
361	4064
362	4079
363	4096
364	4112
365	4130
366	4133
367	4136
368	4139
369	4142
370	4145
371	4162
372	4185
373	4205
374	4221
375	4226
376	4242
377	4257
378	4262
379	4283
380	4286
381	4305
382	4308
383	4311
384	4314
385	4319
386	4322
387	4327
388	4330
389	4350
390	4355
391	4360
392	4363
393	4366
394	4382
395	4397
396	4415
397	4418
398	4421
399	4439
400	4459
401	4462
402	4484
403	4489
404	4494
405	4514
406	4519
407	4539
408	4559
409	4577
410	4582
411	4600
412	4605
413	4610
414	4627
415	4645
416	4648
417	4651
418	4654
419	4657
420	4675
421	4678
422	4696
423	4716
424	4719
425	4722
426	4744
427	4759
428	4778
429	4783
430	4802
431	4820
432	4823
433	4846
434	4849
435	4852
436	4873
437	4876
438	4896
439	4914
440	4934
441	4937
442	4961
443	4966
444	4971
445	4995
446	4998
447	5014
448	5017
449	5020
450	5023
451	5042
452	5061
453	5077
454	5080
455	5085
456	5106
457	5125
458	5146
459	5169
460	5191
461	5194
462	5199
463	5204
464	5221
465	5247
466	5252
467	5275
468	5292
469	5314
470	5335
471	5357
472	5360
473	5377
474	5398
475	5401
476	5404
477	5418
478	5440
479	5443
480	5448
481	5469
482	5472
483	5475
484	5494
485	5516
486	5519
487	5533
488	5536
489	5551
490	5570
491	5588
492	5591
493	5610
494	5630
495	5633
496	5649
497	5654
498	5657
499	5674
500	5679
501	5684
502	5687
503	5690
504	5695
505	5712
506	5724
507	5740
508	5743
509	5760
510	5763
