Sweep	Chain_1	Chain_2	Chain_3	
50	1	1.41421	2	
108	1	1.41912	2.01391	
170	1	1.42405	2.02792	
224	1	1.42899	2.04202	
276	1	1.43396	2.05623	
330	1	1.43893	2.07053	
385	1	1.44393	2.08493	
438	1	1.44894	2.09943	
488	1	1.45397	2.11404	
543	1	1.45902	2.12874	
597	1	1.46409	2.14355	
648	1	1.46917	2.15846	
700	1	1.47427	2.17347	
754	1	1.47939	2.18859	
804	1	1.48452	2.20381	
856	1	1.48968	2.21914	
910	1	1.49485	2.23457	
961	1	1.50004	2.25012	
1014	1	1.50525	2.26577	
1066	1	1.51047	2.28153	
1125	1	1.51572	2.2974	
1177	1	1.52098	2.31338	
1229	1	1.52626	2.32947	
1282	1	1.53156	2.34567	
1333	1	1.53688	2.36199	
1386	1	1.54221	2.37841	
1439	1	1.54756	2.39496	
1494	1	1.55294	2.41162	
1544	1	1.55833	2.42839	
1594	1	1.56374	2.44528	
1645	1	1.56917	2.46229	
1696	1	1.57462	2.47942	
1747	1	1.56917	2.46229	
1799	1	1.57462	2.47942	
1849	1	1.58008	2.49666	
1903	1	1.58557	2.51403	
1953	1	1.59107	2.53151	
2006	1	1.5966	2.54912	
2057	1	1.60214	2.56685	
2108	1	1.6077	2.58471	
2159	1	1.61328	2.60268	
2209	1	1.61888	2.62079	
2259	1	1.6245	2.63902	
2310	1	1.63014	2.65737	
2361	1	1.6358	2.67586	
2411	1	1.64148	2.69447	
2461	1	1.64718	2.71321	
2514	1	1.6529	2.73208	
2567	1	1.65864	2.75108	
2617	1	1.6644	2.77022	
2668	1	1.67018	2.78949	
2720	1	1.67597	2.80889	
2770	1	1.68179	2.82843	
2821	1	1.68763	2.8481	
2871	1	1.69349	2.86791	
2923	1	1.69937	2.88786	
2973	1	1.70527	2.90795	
3024	1	1.71119	2.92817	
3074	1	1.71713	2.94854	
3125	1	1.72309	2.96905	
3175	1	1.72907	2.9897	
3226	1	1.73508	3.01049	
3276	1	1.7411	3.03143	
3330	1	1.74715	3.05252	
3384	1	1.75321	3.07375	
3434	1	1.7593	3.09513	
3484	1	1.75321	3.07375	
3536	1	1.7593	3.09513	
3587	1	1.76541	3.11666	
3638	1	1.7593	3.09513	
3690	1	1.76541	3.11666	
3740	1	1.77154	3.13834	
3790	1	1.77769	3.16017	
3841	1	1.78386	3.18215	
3891	1	1.79005	3.20428	
3941	1	1.79626	3.22657	
3992	1	1.8025	3.24901	
4042	1	1.80876	3.27161	
4092	1	1.81504	3.29436	
4142	1	1.82134	3.31728	
4192	1	1.82766	3.34035	
4245	1	1.82134	3.31728	
4296	1	1.82766	3.34035	
4346	1	1.83401	3.36359	
4396	1	1.84038	3.38698	
4446	1	1.84676	3.41054	
4497	1	1.85318	3.43426	
4547	1	1.84676	3.41054	
4597	1	1.85318	3.43426	
4648	1	1.85961	3.45815	
4699	1	1.86607	3.4822	
4749	1	1.87254	3.50642	
4799	1	1.87905	3.53081	
4849	1	1.88557	3.55537	
4899	1	1.89212	3.5801	
4949	1	1.88557	3.55537	
4999	1	1.89212	3.5801	
